State,Account Length,Area Code,Int'l Plan,VMail Plan,VMail Message,Phone,Day Mins,Eve Mins,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
HI,85,415,no,no,0,362-5889,235.8,157.2,109,40.09,94,13.36,188.2,99,8.47,12,3,3.24,0,0
MN,50,415,no,no,0,350-8921,157.1,223.3,90,26.71,72,18.98,181.4,111,8.16,6.1,2,1.65,1,0
MN,46,415,no,no,0,355-8887,214.1,164.4,72,36.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,0
MD,70,408,no,no,0,333-1967,170.2,155.2,98,28.93,102,13.19,228.6,76,10.29,15,2,4.05,1,0
WV,144,415,no,no,0,354-4577,201.1,303.5,99,34.19,74,25.8,224,119,10.08,13.2,2,3.56,1,0
OR,116,415,yes,no,0,331-7425,215.4,204.8,104,36.62,79,17.41,278.5,109,12.53,12.6,5,3.4,3,0
CO,55,408,no,yes,25,419-2637,165.6,136.1,123,28.15,95,11.57,175.7,90,7.91,11,2,2.97,3,0
GA,70,415,no,yes,24,411-1530,249.5,259.7,101,42.42,98,22.07,222.7,68,10.02,9.8,4,2.65,1,0
VT,128,510,no,yes,29,388-6441,179.3,225.9,104,30.48,86,19.2,323,78,14.54,8.6,7,2.32,0,0
WV,111,510,no,no,0,412-9997,214.3,208.5,118,36.43,76,17.72,182.4,98,8.21,12,2,3.24,1,0
KY,74,415,no,yes,35,346-7302,154.1,123.4,104,26.2,84,10.49,202.1,57,9.09,10.9,9,2.94,2,0
DC,82,510,no,no,0,400-9770,143.9,194.9,61,24.46,105,16.57,109.6,94,4.93,11.1,2,3,1,0
AR,80,415,no,no,0,340-4953,124.3,173,100,21.13,107,14.71,253.2,62,11.39,7.9,9,2.13,1,0
ME,78,415,no,no,0,400-9510,252.9,178.4,93,42.99,112,15.16,263.9,105,11.88,9.5,7,2.57,3,0
AZ,90,415,no,no,0,387-6103,179.1,190.6,71,30.45,81,16.2,127.7,91,5.75,10.6,7,2.86,3,0
AK,104,408,no,no,0,366-4467,278.4,81,106,47.33,113,6.89,163.2,137,7.34,9.8,5,2.65,1,0
MT,73,415,no,no,0,370-3450,160.1,213.3,110,27.22,72,18.13,174.1,72,7.83,13,4,3.51,0,0
AZ,99,415,no,no,0,327-3954,198.2,207.3,87,33.69,76,17.62,190.9,113,8.59,8.7,3,2.35,4,0
IA,98,510,no,yes,21,379-6506,161.2,252.2,114,27.4,83,21.44,160.2,92,7.21,4.4,8,1.19,4,0
MA,108,415,no,no,0,347-7741,178.3,189,137,30.31,76,16.07,129.1,102,5.81,14.6,5,3.94,0,0
VT,135,415,no,no,0,354-3783,151.7,119,82,25.79,105,10.12,180,100,8.1,10.5,6,2.84,0,0
KY,95,408,no,no,0,401-7594,135,183.6,99,22.95,106,15.61,245.3,102,11.04,12.5,9,3.38,1,0
IN,122,408,no,no,0,397-4976,170.5,173.7,94,28.99,109,14.76,248.6,75,11.19,11.3,2,3.05,1,0
AZ,95,408,no,no,0,334-2577,238.1,187.2,65,40.48,98,15.91,190,115,8.55,11.8,4,3.19,4,0
MI,36,510,no,yes,29,400-3637,281.4,202.2,102,47.84,76,17.19,187.2,113,8.42,9,6,2.43,2,0
NM,93,510,no,yes,21,383-4361,117.9,164.5,131,20.04,115,13.98,217,86,9.76,9.8,3,2.65,1,0
CO,141,415,no,yes,32,371-4306,148.6,131.1,91,25.26,97,11.14,219.4,142,9.87,10.1,1,2.73,1,0
UT,157,408,no,no,0,403-4298,229.8,147.9,90,39.07,121,12.57,241.4,108,10.86,9.6,7,2.59,3,0
MI,120,408,no,no,0,409-3786,165,317.2,100,28.05,83,26.96,119.2,86,5.36,8.3,8,2.24,1,0
MA,103,415,no,no,0,337-4697,185,223.3,117,31.45,94,18.98,222.8,91,10.03,12.6,2,3.4,2,0
AL,98,408,no,no,0,383-1509,161,190.9,117,27.37,113,16.23,227.7,113,10.25,12.1,4,3.27,4,0
DE,125,408,no,no,0,359-9794,126.7,206,108,21.54,90,17.51,247.8,114,11.15,13.3,7,3.59,1,0
AZ,63,415,no,no,0,407-7035,58.9,169.6,125,10.01,59,14.42,211.4,88,9.51,9.4,3,2.54,1,0
NJ,64,510,no,no,0,391-4652,162.6,152.3,83,27.64,109,12.95,57.5,122,2.59,14.2,3,3.83,1,0
MO,112,510,no,yes,36,409-1244,113.7,157.5,117,19.33,82,13.39,177.6,118,7.99,10,3,2.7,2,0
ID,97,408,no,no,0,328-3266,239.8,214.8,125,40.77,111,18.26,143.3,81,6.45,8.7,5,2.35,2,0
NE,46,408,no,no,0,352-7072,210.2,227.3,92,35.73,77,19.32,200.1,116,9,13.1,7,3.54,1,0
TX,41,408,no,yes,22,370-7550,213.8,141.8,102,36.35,86,12.05,142.2,123,6.4,7.2,3,1.94,0,0
MD,121,510,no,no,0,369-5526,190.7,183.5,103,32.42,117,15.6,220.8,103,9.94,9.8,4,2.65,3,0
MS,193,415,no,no,0,329-4391,170.9,132.3,124,29.05,95,11.25,112.9,89,5.08,11.6,3,3.13,1,0
NV,130,510,no,no,0,408-4195,154.2,110.2,119,26.21,98,9.37,227.4,117,10.23,9.2,5,2.48,2,0
AZ,85,408,no,no,0,354-4445,201.4,229.4,52,34.24,104,19.5,252.5,106,11.36,12,3,3.24,1,0
TX,92,408,no,no,0,409-5939,91.7,193.7,90,15.59,123,16.46,175,86,7.88,9.2,4,2.48,2,0
NE,131,408,no,yes,36,331-4902,214.2,161.7,115,36.41,117,13.74,264.7,102,11.91,9.5,4,2.57,3,0
NE,90,415,no,no,0,353-6870,145.5,217.7,92,24.74,114,18.5,146.9,123,6.61,10.9,2,2.94,3,0
CA,75,408,no,no,0,355-2909,166.3,158.2,125,28.27,86,13.45,256.7,80,11.55,6.1,5,1.65,1,0
NJ,78,415,no,no,0,390-6101,231,230.4,115,39.27,140,19.58,261.4,120,11.76,9.5,3,2.57,1,0
TX,82,408,no,no,0,400-3446,200.3,201.2,96,34.05,102,17.1,206.1,60,9.27,7.1,1,1.92,4,0
AR,163,408,no,no,0,411-5859,197,202.6,109,33.49,128,17.22,206.4,80,9.29,9.1,10,2.46,1,0
AL,91,510,yes,no,0,387-2919,129.9,173.3,112,22.08,83,14.73,247.2,130,11.12,11.2,3,3.02,3,0
NY,75,415,no,yes,21,374-8525,175.8,217.5,97,29.89,106,18.49,237.5,134,10.69,5.3,4,1.43,5,0
FL,91,510,no,no,0,379-5592,203.1,210.1,106,34.53,113,17.86,195.6,129,8.8,12,3,3.24,3,0
AK,127,510,no,yes,36,345-8237,183.2,126.8,117,31.14,76,10.78,263.3,71,11.85,11.2,8,3.02,1,0
NV,113,415,no,yes,23,422-6690,205,152,101,34.85,60,12.92,158.6,59,7.14,10.2,5,2.75,2,0
DE,110,510,no,no,0,346-2359,148.5,276.4,115,25.25,84,23.49,193.6,112,8.71,12.4,3,3.35,1,0
MD,120,415,no,yes,39,374-3534,200.3,220.4,68,34.05,97,18.73,253.8,116,11.42,10.5,4,2.84,0,0
MI,157,415,no,yes,28,381-4756,192.6,195.5,107,32.74,74,16.62,109.7,139,4.94,6.8,5,1.84,3,0
VT,103,510,no,no,0,390-2805,246.5,195.5,47,41.91,84,16.62,200.5,96,9.02,11.7,4,3.16,1,0
MI,140,415,no,no,0,419-9097,231.9,160.1,101,39.42,94,13.61,110.4,98,4.97,14.3,6,3.86,3,0
WA,127,408,no,no,0,386-7281,146.7,203.5,91,24.94,78,17.3,203.4,110,9.15,13.7,3,3.7,1,0
UT,83,408,yes,no,0,380-3561,271.5,216.3,87,46.16,126,18.39,121.1,105,5.45,11.7,4,3.16,1,0
LA,121,408,no,no,0,390-8760,181.5,218.4,121,30.86,98,18.56,161.6,103,7.27,8.5,5,2.3,1,0
RI,145,408,no,yes,43,366-6730,257.7,162.1,97,43.81,95,13.78,286.9,86,12.91,11.1,4,3,2,0
IA,113,408,no,no,0,395-5285,193.8,221.4,99,32.95,125,18.82,172.3,67,7.75,10.6,6,2.86,1,0
NE,117,415,no,no,0,354-3436,102.8,206.7,119,17.48,91,17.57,299,105,13.46,10.1,7,2.73,1,0
OH,65,408,no,no,0,336-7600,187.9,157.6,116,31.94,117,13.4,227.3,86,10.23,7.5,6,2.03,1,0
RI,56,415,no,no,0,383-6293,226,248.5,112,38.42,118,21.12,140.5,142,6.32,6.9,11,1.86,1,0
OK,96,415,no,no,0,362-4596,260.4,146,115,44.27,46,12.41,269.5,87,12.13,11.5,4,3.11,5,0
LA,151,408,no,no,0,401-3926,178.7,292.1,116,30.38,138,24.83,265.9,101,11.97,9.8,4,2.65,0,0
VA,139,510,no,yes,23,328-6289,157.6,247,129,26.79,96,21,259.2,112,11.66,13.7,2,3.7,0,0
MO,6,510,no,no,0,350-9994,183.6,256.7,117,31.21,72,21.82,178.6,79,8.04,10.2,2,2.75,1,0
FL,115,510,no,yes,24,351-4616,142.1,183.4,124,24.16,129,15.59,164.8,114,7.42,9.6,4,2.59,1,0
SC,87,415,no,no,0,360-5779,136.3,172.2,97,23.17,108,14.64,137.5,101,6.19,7.1,5,1.92,0,0
VA,141,415,no,no,0,417-4885,217.1,241.5,110,36.91,111,20.53,253.5,103,11.41,12,6,3.24,0,0
IA,141,510,no,yes,36,406-4710,187.5,241.4,99,31.88,116,20.52,229.5,105,10.33,10.5,5,2.84,3,0
MI,62,415,no,no,0,409-8743,98.9,135.4,103,16.81,122,11.51,236.6,82,10.65,12.2,1,3.29,1,0
OK,146,415,no,no,0,335-4584,206.3,148.6,151,35.07,89,12.63,167.2,91,7.52,6.1,3,1.65,1,0
DE,92,415,no,yes,33,361-9845,243.1,213.8,92,41.33,92,18.17,228.7,104,10.29,12.1,2,3.27,2,0
GA,185,510,no,yes,31,366-5699,189.8,163.3,126,32.27,133,13.88,264.8,126,11.92,7.5,3,2.03,1,0
DC,148,415,no,no,0,329-9364,202,243.2,102,34.34,128,20.67,261.3,90,11.76,10.9,3,2.94,1,0
AZ,94,408,no,yes,38,390-7434,170.1,193.3,124,28.92,116,16.43,105.9,73,4.77,12.8,4,3.46,1,0
AL,32,510,no,no,0,404-9680,230.9,187.4,87,39.25,90,15.93,154,53,6.93,6.3,2,1.7,0,0
CO,68,408,no,no,0,338-9398,237.1,223.5,105,40.31,105,19,97.4,79,4.38,13.2,2,3.56,1,0
NH,64,408,no,yes,27,394-2445,182.1,169.7,91,30.96,98,14.42,164.7,86,7.41,10.6,5,2.86,2,0
NM,25,415,no,no,0,381-2709,119.3,211.5,87,20.28,101,17.98,268.9,86,12.1,10.5,4,2.84,3,0
OR,65,415,no,no,0,397-5060,116.8,178.9,87,19.86,93,15.21,182.4,150,8.21,14.1,2,3.81,1,0
LA,179,408,no,no,0,415-2393,219.2,149.4,92,37.26,125,12.7,244.7,104,11.01,6.1,5,1.65,0,0
NE,94,415,no,no,0,377-1765,252.6,169,104,42.94,125,14.37,170.9,106,7.69,11.1,7,3,2,0
MN,62,415,no,no,0,409-2111,147.1,190.4,91,25.01,107,16.18,195.2,115,8.78,12.2,3,3.29,0,0
MI,127,415,no,no,0,401-3170,202.1,229.4,103,34.36,86,19.5,195.2,113,8.78,11.5,3,3.11,2,0
AR,116,408,no,no,0,405-5681,173.5,194.1,93,29.5,76,16.5,208,112,9.36,16.2,10,4.37,3,0
KS,70,408,no,no,0,411-4582,232.1,292.3,122,39.46,112,24.85,201.2,112,9.05,0,0,0,3,0
WV,94,510,yes,yes,23,355-5009,197.1,214.5,125,33.51,136,18.23,282.2,103,12.7,9.5,5,2.57,4,0
NY,67,408,no,yes,36,405-2888,115.6,237.7,111,19.65,94,20.2,169.9,103,7.65,9.9,12,2.67,2,0
NH,19,408,no,no,0,361-3337,186.1,254.3,98,31.64,57,21.62,214,127,9.63,14.6,7,3.94,2,0
VA,170,510,yes,no,0,350-1639,259.9,245,68,44.18,122,20.83,134.4,121,6.05,8.4,3,2.27,3,0
NM,73,415,no,no,0,333-3221,214.3,268.5,145,36.43,135,22.82,241.2,92,10.85,10.8,13,2.92,1,0
NY,106,408,no,no,0,422-1471,158.7,64.3,74,26.98,139,5.47,198.5,103,8.93,10.2,4,2.75,1,0
AZ,93,415,no,no,0,399-7865,271.6,229.4,71,46.17,108,19.5,77.3,121,3.48,10.9,3,2.94,2,0
WY,164,510,no,no,0,373-4819,160.6,163.2,111,27.3,126,13.87,187.1,112,8.42,9,3,2.43,1,0
WA,51,408,no,no,0,338-6981,232.4,187.4,109,39.51,95,15.93,231.2,107,10.4,9.1,3,2.46,1,0
CO,107,415,no,no,0,418-4365,133.8,180.5,85,22.75,94,15.34,112.2,115,5.05,8.9,4,2.4,0,0
TX,130,415,no,no,0,359-5461,176.9,90.7,109,30.07,104,7.71,238,69,10.71,9.5,2,2.57,1,0
KY,80,408,no,no,0,375-3586,209.9,195.1,74,35.68,77,16.58,208.2,119,9.37,8.8,4,2.38,2,0
MT,94,415,no,no,0,407-8376,137.5,203.2,118,23.38,88,17.27,150,131,6.75,13.4,2,3.62,0,0
OK,118,408,no,yes,23,408-6496,289.5,166.6,52,49.22,111,14.16,119.1,88,5.36,9.5,4,2.57,1,0
MD,117,415,no,yes,23,385-7688,198.1,177,86,33.68,86,15.05,180.5,92,8.12,6.8,6,1.84,1,0
TN,78,415,no,no,0,332-6934,149.7,182.2,119,25.45,115,15.49,261.5,126,11.77,9.7,8,2.62,0,0
DC,63,408,no,no,0,399-6786,83,177,64,14.11,106,15.05,245.7,89,11.06,13,3,3.51,0,0
MN,53,415,no,yes,24,358-3261,145.7,220.5,146,24.77,136,18.74,249.9,96,11.25,13.1,5,3.54,3,0
DE,62,408,no,no,0,377-9932,182.3,328.2,101,30.99,93,27.9,245,131,11.03,11.2,1,3.02,2,0
MD,97,415,no,no,0,397-4030,218,184,86,37.06,94,15.64,240.5,110,10.82,6.4,8,1.73,3,0
MI,105,510,no,no,0,367-1062,140.6,178.6,109,23.9,51,15.18,217,83,9.76,6.8,3,1.84,2,0
WA,157,415,no,no,0,341-8467,152.7,257.5,105,25.96,80,21.89,198.1,93,8.91,9.4,4,2.54,1,0
MO,66,415,no,yes,36,339-9453,106.7,209.8,76,18.14,77,17.83,190.4,117,8.57,12.1,2,3.27,1,0
IN,122,415,no,no,0,344-3388,243.8,83.9,98,41.45,72,7.13,179.8,84,8.09,13.7,8,3.7,2,0
OR,38,415,no,no,0,375-8013,194.4,186.7,94,33.05,95,15.87,223.3,90,10.05,10.8,5,2.92,3,0
MD,106,510,no,no,0,408-4142,213.9,151.9,95,36.36,70,12.91,260.1,124,11.7,12.2,5,3.29,3,0
RI,99,510,no,no,0,386-3671,217.2,246.7,112,36.92,89,20.97,226.1,89,10.17,15.8,7,4.27,3,0
LA,99,415,no,no,0,411-2284,241.1,155.6,72,40.99,98,13.23,188.2,109,8.47,11.6,10,3.13,1,0
AZ,144,510,yes,no,0,346-7795,203.5,247.6,100,34.6,103,21.05,194.3,94,8.74,11.9,11,3.21,0,0
PA,82,415,no,yes,24,333-5609,155.2,244.5,131,26.38,106,20.78,122.4,68,5.51,10.7,3,2.89,1,0
AZ,86,408,no,yes,31,405-1842,167.6,113,139,28.49,118,9.61,246.9,121,11.11,12.2,6,3.29,1,0
LA,93,415,no,no,0,337-9345,179.3,178.6,93,30.48,98,15.18,225.2,131,10.13,11.5,6,3.11,3,0
FL,93,415,no,no,0,328-6770,151.4,186.4,89,25.74,76,15.84,172.5,120,7.76,10.9,3,2.94,0,0
FL,120,415,no,no,0,380-7321,180,224.2,80,30.6,82,19.06,265.4,91,11.94,4.7,7,1.27,3,0
AL,106,415,no,no,0,356-1567,223,110.1,121,37.91,98,9.36,188.7,107,8.49,7.1,12,1.92,0,0
WA,81,415,no,no,0,422-6685,183.6,152.6,116,31.21,98,12.97,212.2,99,9.55,12.2,6,3.29,3,0
TN,127,408,no,yes,22,336-1090,166,174.5,114,28.22,103,14.83,244.9,68,11.02,10.2,6,2.75,1,0
MS,65,415,no,no,0,343-2095,136.1,272.9,112,23.14,96,23.2,220.2,104,9.91,4.4,2,1.19,1,0
ME,35,408,no,no,0,345-3934,149.3,242.2,113,25.38,122,20.59,174.3,104,7.84,8.9,6,2.4,2,0
OK,88,408,no,no,0,338-8050,65.4,168.2,97,11.12,76,14.3,236,113,10.62,13.8,1,3.73,2,0
IN,65,415,no,no,0,388-9568,213.4,234.5,111,36.28,94,19.93,250.1,123,11.25,2.7,4,0.73,1,0
MO,123,415,no,no,0,402-6591,206.9,244.7,85,35.17,78,20.8,221.5,136,9.97,7.7,2,2.08,3,0
IA,126,408,no,yes,27,403-6419,186.2,189.6,78,31.65,83,16.12,76.5,139,3.44,9.6,3,2.59,2,0
VA,104,415,no,yes,23,386-9790,280.2,220.5,136,47.63,92,18.74,136.9,102,6.16,13.3,3,3.59,4,0
KY,45,415,no,yes,22,378-5692,196.6,313.2,84,33.42,92,26.62,163.3,108,7.35,11.9,3,3.21,0,0
OH,63,415,yes,yes,36,410-3719,199,291.3,110,33.83,111,24.76,197.6,92,8.89,11,6,2.97,1,0
OK,100,415,no,no,0,352-4221,203.1,217,96,34.53,126,18.45,180.9,122,8.14,13.5,2,3.65,3,0
NV,53,415,no,no,0,327-6179,168.8,220.3,97,28.7,87,18.73,154.3,113,6.94,10.9,2,2.94,0,0
ID,92,415,yes,no,0,359-6196,173.1,240.3,140,29.43,105,20.43,233.2,117,10.49,9,5,2.43,1,0
SD,110,408,no,yes,40,357-4078,202.6,118.8,103,34.44,128,10.1,234.9,98,10.57,9,9,2.43,2,0
IL,110,408,no,no,0,366-5780,74.5,200.8,117,12.67,98,17.07,192.2,101,8.65,9.8,7,2.65,3,0
WY,215,510,no,no,0,393-9619,83.6,120.9,148,14.21,91,10.28,226.6,110,10.2,10.7,9,2.89,0,0
AL,73,415,no,no,0,355-9295,192.2,168.6,86,32.67,116,14.33,139.8,87,6.29,9.4,6,2.54,1,0
NJ,138,510,no,no,0,400-5751,220.2,88.3,89,37.43,125,7.51,195.3,79,8.79,12.9,5,3.48,0,0
IN,36,415,no,no,0,405-8867,253.4,182.4,77,43.08,151,15.5,275.8,103,12.41,8.4,2,2.27,1,0
WV,85,408,no,no,0,336-5616,225,176.9,81,38.25,63,15.04,194.3,110,8.74,7.1,2,1.92,3,0
SC,22,408,no,no,0,331-5138,110.3,166.5,107,18.75,93,14.15,202.3,96,9.1,9.5,5,2.57,0,0
RI,107,415,no,yes,37,385-8240,60,102.2,102,10.2,80,8.69,261.8,106,11.78,11.1,3,3,0,0
IN,51,510,no,no,0,348-1359,214.8,149.7,94,36.52,58,12.72,283.4,66,12.75,10.2,5,2.75,0,0
AZ,94,408,no,no,0,354-7339,181.8,202.4,85,30.91,98,17.2,245.9,97,11.07,9.2,2,2.48,4,0
NM,119,510,no,yes,23,349-1687,154,278,114,26.18,137,23.63,228.4,112,10.28,11.8,4,3.19,2,0
NJ,106,415,no,no,0,365-2153,207.9,172,91,35.34,109,14.62,191.8,143,8.63,14.4,7,3.89,4,0
MS,82,408,no,no,0,345-6043,207,232.9,90,35.19,83,19.8,172.4,108,7.76,9.1,8,2.46,3,0
MI,86,510,no,yes,41,349-2808,119,230,101,20.23,134,19.55,236.9,58,10.66,9.5,3,2.57,0,0
TX,97,415,yes,no,0,411-1715,143.7,273,117,24.43,82,23.21,178.3,81,8.02,10.9,3,2.94,0,0
FL,106,408,no,yes,32,385-2488,165.9,216.5,126,28.2,93,18.4,173.1,86,7.79,14.1,8,3.81,4,0
